{'ALG_BC_NB': 2375813, 'ALG_BC_WITH_SHAVING_NB': 119708, 'ALG_SHAVING_NB': 1699098, 'ALG_SHAVING_CHANGE_NB': 557007, 'ALG_SHAVING_NO_CHANGE_NB': 1142091, 'PROPAGATOR_ENTAILMENT_NB': 3733859, 'PROPAGATOR_FILTER_NB': 63857336, 'PROPAGATOR_FILTER_NO_CHANGE_NB': 21381370, 'PROPAGATOR_INCONSISTENCY_NB': 630380, 'SOLVER_BACKTRACK_NB': 1772470, 'SOLVER_CHOICE_NB': 46310, 'SOLVER_CHOICE_DEPTH': 31, 'SOLVER_SOLUTION_NB': 25}
         2171256980 function calls (2171249652 primitive calls) in 2682.249 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       96    0.000    0.000    0.001    0.000 decorators.py:239(njit)
        6    0.000    0.000    0.000    0.000 getlimits.py:34(__init__)
       33    0.000    0.000    0.000    0.000 __init__.py:622(formatTime)
    45/12    0.000    0.000    0.002    0.000 typing.py:1285(__getitem__)
      248    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      194    0.000    0.000    0.000    0.000 registry.py:67(__getitem__)
      221    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 npydecl.py:1(<module>)
      200    0.000    0.000    0.000    0.000 enum.py:726(__call__)
    45/12    0.000    0.000    0.001    0.000 typing.py:1317(_determine_new_args)
       33    0.000    0.000    0.001    0.000 __init__.py:690(format)
      454    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       25    0.000    0.000    0.000    0.000 choice_points.py:78(fix_choice_points)
      154    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
       38    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
  305/245    0.000    0.000    0.000    0.000 typing.py:1276(__hash__)
      231    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       56    0.000    0.000    0.006    0.000 _compiler.py:573(_code)
       82    0.000    0.000    0.000    0.000 inspect.py:2733(__init__)
       33    0.000    0.000    0.001    0.000 __init__.py:1645(makeRecord)
        2    0.000    0.000    0.001    0.001 dataclasses.py:921(_process_class)
        1    0.000    0.000    0.000    0.000 _linalg.py:2382(lstsq)
      785    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       33    0.000    0.000    0.000    0.000 __init__.py:455(_format)
       34    0.000    0.000    0.001    0.000 extending.py:207(decorate)
        1    0.000    0.000    0.000    0.000 argparse.py:1940(_parse_known_args)
      454    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       44    0.000    0.000    0.000    0.000 inspect.py:3019(__init__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        1    0.000    0.000    0.006    0.006 parfor.py:1(<module>)
      177    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      454    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       32    0.000    0.000    0.001    0.000 extending.py:352(_register)
      380    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      248    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        1    0.000    0.000    0.003    0.003 listobj.py:1(<module>)
      454    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
